InvoiceNo,StockCode,Quantity
536365,85123A,6
536365,71053,6
536365,84406B,8
536365,84029G,6
536365,84029E,6
536365,22752,2
536365,21730,6
536366,22633,6
536366,22632,6
536367,84879,32
536367,22745,6
536367,22748,6
536367,22749,8
536367,22310,6
536367,84969,6
536367,22623,3
536367,22622,2
536367,21754,3
536367,21755,3
536367,21777,4
536367,48187,4
536368,22960,6
536368,22913,3
536368,22912,3
536368,22914,3
536369,21756,3
536370,22728,24
536370,22727,24
536370,22726,12
536370,21724,12
536370,21883,24
536370,10002,48
536370,21791,24
536370,21035,18
536370,22326,24
536370,22629,24
536370,22659,24
536370,22631,24
536370,22661,20
536370,21731,24
536370,22900,24
536370,21913,12
536370,22540,24
536370,22544,24
536370,22492,36
536370,POST,3
536371,22086,80
536372,22632,6
536372,22633,6
536373,85123A,6
536373,71053,6
536373,84406B,8
536373,20679,6
536373,37370,6
536373,21871,6
536373,21071,6
536373,21068,6
536373,82483,2
536373,82486,4
536373,82482,6
536373,82494L,6
536373,84029G,6
536373,84029E,6
536373,22752,2
536373,21730,6
536374,21258,32
536375,85123A,6
536375,71053,6
536375,84406B,8
536375,20679,6
536375,37370,6
536375,21871,6
536375,21071,6
536375,21068,6
536375,82483,2
536375,82486,4
536375,82482,6
536375,82494L,6
536375,84029G,6
536375,84029E,6
536375,22752,2
536375,21730,6
536376,22114,48
536376,21733,64
536377,22632,6
536377,22633,6
536378,22386,10
536378,85099C,10
536378,21033,10
536378,20723,10
536378,84997B,12
536378,84997C,6
536378,21094,12
536378,20725,10
536378,21559,6
536378,22352,6
536378,21212,120
536378,21975,24
536378,21977,24
536378,84991,24
